"采集时间","作品ID","作品类型","作品标题","作品描述","作品标签","发布时间","最后更新时间","收藏数量","评论数量","分享数量","点赞数量","作者昵称","作者ID","作者链接","作品链接","下载地址","动图地址"
"2024-12-04 00:16:27",6571750a000000003802b439,"图文","首发｜探班福建首家chinism，于本月9号开业！","全新一家Chinism在SM城市广场1期于今日举行试营业，门店即将定档12月9日正式开业，这也是福建首家的Chinism品牌门店！
	
以上为航海家Navigator第一时间新鲜的的现场探班：
	
品牌的门店的装修有着很好的视觉呈现，大地色与金属、大理石质感装饰的融合，看起来很有层次感。
	
开放式的门脸设计可以一脸纵览门店内的布局与结构，产品被井井有条的摆在了左右两侧，门店的陈列很考究，吊顶灯光充分的照射下，能让目光充分焦距。
	
门店即将于12月9日正式开业，大家期待福建首家Chinism的呈现吗？
	
这里有Chinisim和张凌赫的粉丝们吗？期待的欢迎举个手哦～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#商场[话题]# #SM城市广场[话题]# #厦门SM城市广场[话题]#
#CHINISM[话题]# #chinism[话题]# #CHINISM卫衣[话题]#
#张凌赫[话题]# #国潮[话题]# #潮流[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 商场 SM城市广场 厦门SM城市广场 CHINISM chinism CHINISM卫衣 张凌赫 国潮 潮流",2023-12-07_15:32:26,2023-12-07_15:41:42,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/6571750a000000003802b439,"https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk005obucjg0jkuu2klfiqg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk0g5obucjg0jkuudfnkid8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk105obucjg0jkuu6blmd58?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk1g5obucjg0jkuuc78v19o?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk205obucjg0jkuu1vrq7cg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk2g5obucjg0jkuuruidacg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk305obucjg0jkuu3up90lo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk3g5obucjg0jkuuajmt878?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk405obucjg0jkuu04n7hl8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk4g5obucjg0jkuu2vsmfmo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk505obucjg0jkuutetc7hg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk5g5obucjg0jkuugp55c7o?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk605obucjg0jkuu7cavj6o?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt1pjk6g5obucjg0jkuu6840qoo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt4n3c005obucjg0jkuuqhqme70?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt4n3c0g5obucjg0jkuu3pfa2uo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt4n3c105obucjg0jkuub5859fo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30scfnt4n3c1g5obucjg0jkuu12i626g?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-04 00:16:28",65704b88000000001502dc7d,"图文","中国第34家万象城落户云南，昆明万象城启幕！","全新一座万象城落户云南，入驻昆明，这也是全国第34家万象城。
	
昆明万象城为华润万象生活的全新商场，项目定位M2轻奢级别，商业体量建筑面积为14万方，项目的入驻将为云南和西南地区增添一座全新的地标级商场！
	
其中，西南首家Snow Peak、Salomon、KAILAS、Jeep山系户外品牌入驻。
	
其中还有云南首家Clarks、WANTSUIT、MAYOR、AC anna caselli；还有Ole、UR、优衣库、Tims、MUJI、西西弗书店等55家云南首进品牌和10多家城市首进品牌和西南首进品牌。
	
昆明万象城正式定档12月24日正式开业！
	
#航海家Navigator[话题]#
	
#云南[话题]# #昆明[话题]# #昆明商业[话题]# #昆明商场[话题]#
#万象城[话题]# #昆明万象城[话题]#","航海家Navigator 云南 昆明 昆明商业 昆明商场 万象城 昆明万象城",2023-12-06_18:23:04,2023-12-06_18:30:01,7,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/65704b88000000001502dc7d,https://ci.xiaohongshu.com/1040g00830sbbesb6ja005obucjg0jkuujneg7n0?imageView2/format/png,NaN
"2024-12-04 00:16:28",656fe4480000000039031e3d,"图文","厦门首家开在加油站的汉堡王餐厅入驻同安！","全新一家汉堡王门店入驻厦门同安中石化森美同集北加油站，这也是厦门第一家开在加油站的汉堡王餐厅业态！
	
这源于今年6月9日，中石化易捷销售有限公司与汉堡王（中国）投资有限公司在北京正式签署的战略合作协议。
	
那么，未来还有越来越多的中石化加油站拥有汉堡王餐厅业态，那么大家期待吗？
	
你喜欢加油的时候，下车吃一顿汉堡王，或者打包带走这样的形式吗？
	
餐厅目前已围挡，即将开业！
	
期待的伙伴们欢迎举个手，对于加油站和快餐品牌的合作有什么想法，也欢迎在评论区留下吧～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#快餐[话题]# #汉堡[话题]# #汉堡王[话题]# #burgerking[话题]#
#厦门同安[话题]# #加油站[话题]# #加油站汉堡[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 快餐 汉堡 汉堡王 burgerking 厦门同安 加油站 加油站汉堡",2023-12-06_11:02:32,2023-12-06_17:33:19,4,2,4,6,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656fe4480000000039031e3d,"https://ci.xiaohongshu.com/1040g00830sauri1m2o005obucjg0jkuupjokqao?imageView2/format/png https://ci.xiaohongshu.com/1040g00830sav3gpg2s005obucjg0jkuu2uk4448?imageView2/format/png https://ci.xiaohongshu.com/1040g00830sav3gpg2s105obucjg0jkuupjf3ocg?imageView2/format/png","NaN NaN NaN"
"2024-12-04 00:16:28",656fc4ce000000003a00ea97,"图文","大家期待萨莉亚意大利餐厅入驻厦门吗？","萨莉亚意大利餐厅因极具性价比，好吃且不贵被誉为“意大利沙县小吃”。
	
那么，厦门有知道或者吃过萨莉亚的伙伴吗？你们期待萨莉亚入驻厦门吗？期待的举个手！
	
如果萨莉亚入驻厦门，会入驻哪些商场或者非标街区呢？有好的选址欢迎在评论区留下吧～
	
航海家Navigator选址：如果萨莉亚入驻，可以入驻社区型的商场，SM城市广场、海上世界、湾悦城等等。
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门商场[话题]#
#萨莉亚[话题]# #萨莉亚意式餐厅[话题]# #Saizeriya[话题]#","航海家Navigator 厦门 厦门商业 厦门商场 萨莉亚 萨莉亚意式餐厅 Saizeriya",2023-12-06_08:48:14,2023-12-06_09:27:08,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656fc4ce000000003a00ea97,"https://ci.xiaohongshu.com/1040g00830sar0il7is005obucjg0jkuu7tde9ig?imageView2/format/png https://ci.xiaohongshu.com/1040g00830sar0il7is205obucjg0jkuucbo1sd0?imageView2/format/png https://ci.xiaohongshu.com/1040g00830sar0il7is1g5obucjg0jkuu77n59no?imageView2/format/png https://ci.xiaohongshu.com/1040g00830sar0il7is105obucjg0jkuu6rvkdno?imageView2/format/png","NaN NaN NaN NaN"
"2024-12-04 00:16:28",656dd43e00000000340364e3,"图文","航海家｜厦门快时尚品牌都开在哪呢？","这是航海家Navigator统计的厦门快时尚最具代表性的四个品牌在厦门的分布状况，也俗称快时尚四大金刚。
	
随着SM新生活广场的Lululemom的进场而撤店，目前厦门暂无ZARA门店，我们期待着@ZARA 的后续能回归厦门商场！
	
虽然作为一个商业媒体平台，但航海家Navigator并不推荐大家购买快时尚品牌，因为快时尚品牌本身并不利于我们的社会，也不环保。
	
流行易逝，经典与风格永存，让我们找准自己的风格，多看少买，让我们和地球，都有一个更加美好的未来～
	
那么，你怎么看呢？欢迎在评论区留言哦～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门商场[话题]#
#快时尚[话题]# #快时尚品牌[话题]#
#UNIQLO[话题]# #优衣库[话题]#
#UR[话题]# #ur[话题]# #URBANREVIVO[话题]#
#Gap[话题]# #盖璞[话题]# #hm[话题]# #HM[话题]#","航海家Navigator 厦门 厦门商业 厦门商场 快时尚 快时尚品牌 UNIQLO 优衣库 UR ur URBANREVIVO Gap 盖璞 hm HM",2023-12-04_21:29:34,2023-12-06_19:58:00,9,10+,2,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656dd43e00000000340364e3,"https://ci.xiaohongshu.com/1040g2sg30s8uct0tik005obucjg0jkuuhlc0408?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8uct0tik0g5obucjg0jkuu12l6320?imageView2/format/png","NaN NaN"
"2024-12-04 00:16:28",656d3bc800000000380266a8,"图文","福州首家野兽派香氛入驻福州万象城","福州首家野兽派香氛入驻福州万象城负一楼，目前已围挡，即将开业！
	
这也是福建的第二家野兽派香氛门店，首家野兽派于2022年，在厦门万象城开出。
	
野兽派诞生于上海，以鲜花起家，累积了足够的品牌拥趸后有做起了小众香氛的生意。
	
之后，野兽派获得了资本市场青睐，到如今，品牌有着香氛、家具等品类，致力于打造有氛围感的生活方式。
	
野兽派对门店和气氛的营造很有一手，每到特定的节日如春节、圣诞、七夕，门店内总是有一股浓烈的节日美好氛围。
	
那么，福州首家野兽派来啦！大家期待吗？
	
你喜欢这个品牌吗？欢迎在评论区留下你的想法～
	
#航海家Navigator[话题]#
	
#福州[话题]# #福州商业[话题]# #福州新店[话题]#
#香氛[话题]# #生活方式[话题]# #香薰蜡烛[话题]# #香水[话题]#
#BEAST野兽派[话题]# #野兽派[话题]# #野兽派香薰[话题]#","航海家Navigator 福州 福州商业 福州新店 香氛 生活方式 香薰蜡烛 香水 BEAST野兽派 野兽派 野兽派香薰",2023-12-04_10:39:04,2023-12-06_11:48:55,3,2,3,7,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656d3bc800000000380266a8,"https://ci.xiaohongshu.com/1040g2sg30s8bpafnj2005obucjg0jkuuioia3tg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8c2m5jiq005obucjg0jkuum9m2qt0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpafnj2305obucjg0jkuudlh17uo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpafnj24g5obucjg0jkuu1sdrig0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpafnj2405obucjg0jkuu34518s0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpafnj2505obucjg0jkuu7rdmt10?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpah7320g5obucjg0jkuukg38pqo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8bpah732105obucjg0jkuu4i3hdm8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s8c2m5jiq105obucjg0jkuuobddvio?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-04 00:16:29",656c7c83000000003802f816,"图文","昂跑，瑞士精工基因呈现的山系专业运动品牌","这几年，山系运动趋势逐渐兴起，越来越多的越野品牌受到关注，而昂跑也是其中的代表。
	
昂跑诞生于阿尔卑斯山脉，2010年由三名来自瑞士的跑步爱好者创立，其中的品牌发起人Olivier Bernhard是专业的铁人三项运动员。
	
于是，路跑、竞速和越野是昂跑产品的主打元素。
	
昂跑的研发总部在苏黎世，通过设计与科技的加持，研发出更加革新性的专利，从而运用于跑鞋中，这是品牌自带的瑞士精工基因。
	
航海家Navigator在昂跑门店体验到产品时，轻量化的材质，让跑鞋本身显得更加轻盈；鞋底采用着“CloudTec”的专利鞋底，通过空气动力和碳板的结合，使得整体的重心更稳，也有着优质的回弹性。
	
2019年，网球运动员罗杰·费德勒投资了昂跑5400万美元，成为了昂跑的大股东。
	
有趣的是，费德勒不仅是昂跑的股东，还是品牌重要的代言人，费德勒和昂跑共同打造了一个系列“The Roger”，这也是昂跑开启的全新产品线：网球鞋。
	
除此之外，昂跑还通过与罗意威的联名，带来合作限量款球鞋，罗意威品牌创意总监Jonathan Anderson的奇思妙想，为昂跑加持与赋能。
	
2021年，昂跑在美国纽交所上市，这几年的表现非凡，昂跑在全球通过社群营销获取到了每个城市热衷于跑步的运动爱好者的青睐。
	
未来，我们也期待昂跑给我们带来更加精妙的产品与舒适愉悦的生活方式呈现。
	
福建首家昂跑已落户万象城，福州首家也即将落户！
	
那么，这里有喜欢昂跑的伙伴吗？说出你对昂跑的感受吧～
	
@On昂跑
	
#航海家Navigator[话题]#
	
#品牌[话题]# #球鞋[话题]# #山系穿搭[话题]# #山系[话题]# #户外[话题]#
#ON[话题]# #On昂跑[话题]# #昂跑[话题]#","航海家Navigator 品牌 球鞋 山系穿搭 山系 户外 ON On昂跑 昂跑",2023-12-03_21:02:59,2023-12-03_21:03:00,10+,4,8,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656c7c83000000003802f816,"https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2005obucjg0jkuuo1t0408?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj20g5obucjg0jkuu2u7i5vg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2105obucjg0jkuu041csb8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj21g5obucjg0jkuulftdbk8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2205obucjg0jkuud0kn7c0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj22g5obucjg0jkuucmro51g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2305obucjg0jkuufo41icg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj23g5obucjg0jkuu00qhhfo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2405obucjg0jkuuacejn2o?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj24g5obucjg0jkuu11v7d10?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2505obucjg0jkuumq2th9g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj25g5obucjg0jkuuco1i790?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj2605obucjg0jkuuphbjk1g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke53dj26g5obucjg0jkuuege1c1o?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke55bik005obucjg0jkuuhicoji8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke55bik0g5obucjg0jkuu4skbhig?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke55bik105obucjg0jkuu1ljbqc0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ke55bik1g5obucjg0jkuuv9e53g8?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-04 00:16:29",656c2b910000000038036ae9,"图文","厦门首家探路者TOREAD旗舰店入驻厦门SM2期！","全新一家探路者TOREAD入驻厦门SM新生活广场2期，目前正在围挡中，即将于12月5日开业！
	
这也是厦门的首家探路者正式的品牌旗舰级门店（除去厦门两家奥莱店）将有更丰富的服装和露营装备等品类。
	
如今山系运动和露营的流行趋势和影响力越来越大，能入驻SM商圈，说明了品牌还是有一定程度上的受众基数和影响力。
	
但探路者的设计美学与营销，相较于其他的品牌，还是相对较弱的，这可能与品牌本身的定位有关。
	
探路者入驻厦门SM新生活广场2期后的表现如何呢？我们拭目以待吧！
	
那么，你知道探路者吗？期待这个品牌的入驻吗？对它有什么想法，欢迎在评论区举个手或者评论，我们交流一下～
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门sm新生活广场[话题]# #厦门SM城市广场[话题]#
#山系[话题]# #山系生活[话题]# #露营[话题]# #户外[话题]# #越野[话题]#
#TOREAD[话题]# #探路者TOREAD[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门sm新生活广场 厦门SM城市广场 山系 山系生活 露营 户外 越野 TOREAD 探路者TOREAD",2023-12-03_15:17:37,2023-12-06_05:28:27,5,7,3,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656c2b910000000038036ae9,"https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s005obucjg0jkuuj1km3fo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s0g5obucjg0jkuuh4tct60?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s105obucjg0jkuu180s7g0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s1g5obucjg0jkuuesmihh0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s205obucjg0jkuup1hnf30?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s405obucjg0jkuulajnoe8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s3g5obucjg0jkuu09sjrtg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s7ahugm2s305obucjg0jkuu9s8kqa8?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s7ahuhs2k1g5obucjg0jkuuqbkq8io?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-04 00:16:29",656c1c6c00000000160063f8,"图文","厦门万象城近期门店动态调整，看这篇就够啦！","厦门万象城的顶楼有两家全新入驻的餐饮业态，分别为泰香米泰国餐厅和厦门首家凑凑甄选门店，皆可以享受到天空花园的露天景色。
	
五楼有着11月30日全新开业的啫火啫啫煲，厦门有两家门店，另一家在磐基，门店双首开；八合里牛肉火锅搬迁至负二楼，即将有新的品牌进场；福建首家OTF·PIZZA & BRUNCH餐厅围挡中，即将开业；厦门首家鮨政围挡中，即将开业。
	
四楼的KFC甜品站撤场；珠宝品牌宫囍黄逅搬迁至三楼新铺位；全国首家花潮TD开业，TD业态即将上新！
	
全新的鄂尔多斯1980于两天前的12月1日正式开业，图12、13为之前拍的围挡图，即将更新；新搬迁的STACCATO围挡中，即将开业。
	
二楼，11月全新开业的Y-3，由原来的磐基搬迁至万象城；哈苏联名大疆门店围挡中，即将开业！
	
负一楼，全新开业的玉见，是为福建的首家旗舰店，品牌和珠宝集团周大福有着合作关系。
	
负二楼，全新开业的Hoka One One，亦是品牌的福建市场首家门店，由越千阳代理，门店以快闪店形式开出。
	
门店将为期数月后搬迁至负一楼，与同代理的品牌昂跑放置于同楼层。
	
#航海家Navigator[话题]#
	
#厦门[话题]# #厦门商业[话题]# #厦门新店[话题]#
#厦门商场[话题]# #万象城[话题]# #厦门万象城[话题]#","航海家Navigator 厦门 厦门商业 厦门新店 厦门商场 万象城 厦门万象城",2023-12-03_14:13:00,2023-12-03_21:37:28,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656c1c6c00000000160063f8,"https://ci.xiaohongshu.com/1040g00830s7ldoo9iq005obucjg0jkuuutl5i90?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o205obucjg0jkuu75i0l5g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o2g5obucjg0jkuupsae2p0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o305obucjg0jkuuq4g42l8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o3g5obucjg0jkuuiaqs620?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o405obucjg0jkuualt0dj8?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s7ldoo9iq0g5obucjg0jkuu32jttf8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o4g5obucjg0jkuuq8e68s0?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78mpk72q3g5obucjg0jkuuiubdq80?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o505obucjg0jkuu3udjqd0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o5g5obucjg0jkuuhu3s1v0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o605obucjg0jkuujdo233g?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78mpk72q5g5obucjg0jkuuhgrn6v0?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s78mpmm2o6g5obucjg0jkuuo3shl7g?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78ql9sim005obucjg0jkuuihdtnpg?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78ql9sim0g5obucjg0jkuudsh40h0?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78ql9sim105obucjg0jkuunk63ttg?imageView2/format/png https://ci.xiaohongshu.com/1040g00830s78ql9sim1g5obucjg0jkuud0tlmto?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN"
"2024-12-04 00:16:29",656bda6f0000000039033480,"图文","航海家｜福州第一家宜得利入驻东百爱琴海！","全新一家宜得利入驻福州东百爱琴海购物中心，这也是福州的首家宜得利品牌门店。
	
目前福建市场一共拥有两家宜得利，东百爱琴海的是为第三家，前两家分别在厦门，第一家在厦门万象城，已开业；第二家落户厦门SM城市广场，即将在12月份开业！
	
而福州家具品牌则有宜家占据着很大一部分市场份额，此次宜得利的入驻，可能会影响宜家的销售额，分流走一部分的客群。
	
那么，福州的朋友们，你们期待首家宜得利的入驻吗？
	
宜得利入驻后，宜家会怎么样呢？这场初来乍到的东洋家具品牌和深耕福州市场已久的北欧家具品牌的同台竞技，会如何呈现？
	
你的想法是什么？欢迎在评论区留言，我们一起讨论一下吧～
	
#航海家Navigator[话题]#
	
#福州[话题]# #福州商业[话题]# #福州商场[话题]#
#福州东百爱琴海[话题]# #福州爱琴海[话题]#
#宜得利[话题]# #NITORI[话题]# #nitori[话题]# #NITORI家具家居[话题]#
#宜家[话题]# #ikea[话题]# #宜家IKEA[话题]#","航海家Navigator 福州 福州商业 福州商场 福州东百爱琴海 福州爱琴海 宜得利 NITORI nitori NITORI家具家居 宜家 ikea 宜家IKEA",2023-12-03_09:31:27,2023-12-03_09:50:09,10+,10+,10+,10+,"航海家Navigator",617e64e0000000000201d3de,https://www.xiaohongshu.com/user/profile/617e64e0000000000201d3de,https://www.xiaohongshu.com/explore/656bda6f0000000039033480,"https://ci.xiaohongshu.com/1040g2sg30s70l38l32005obucjg0jkuumonl6kg?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l320g5obucjg0jkuukf4pp58?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l32105obucjg0jkuutkr5938?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l321g5obucjg0jkuu2lkvgk8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l32205obucjg0jkuub3pug7g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l322g5obucjg0jkuu47ebj9g?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l32305obucjg0jkuup3fu5m8?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l323g5obucjg0jkuub6he5jo?imageView2/format/png https://ci.xiaohongshu.com/1040g2sg30s70l38l32405obucjg0jkuu1j9sq4g?imageView2/format/png","NaN NaN NaN NaN NaN NaN NaN NaN NaN"
